New York City,2020-01-01,40
New York City,2020-01-02,40
New York City,2020-01-03,47
New York City,2020-01-04,47
New York City,2020-01-05,40
New York City,2020-01-06,37
New York City,2020-01-07,41
New York City,2020-01-08,36
New York City,2020-01-09,29
New York City,2020-01-10,40
New York City,2020-01-11,55
New York City,2020-01-12,60
New York City,2020-01-13,43
New York City,2020-01-14,41
New York City,2020-01-15,44
New York City,2020-01-16,45
New York City,2020-01-17,29
New York City,2020-01-18,24
New York City,2020-01-19,39
New York City,2020-01-20,27
New York City,2020-01-21,26
New York City,2020-01-22,31
New York City,2020-01-23,38
New York City,2020-01-24,41
New York City,2020-01-25,41
New York City,2020-01-26,43
New York City,2020-01-27,40
New York City,2020-01-28,40
New York City,2020-01-29,36
New York City,2020-01-30,31
New York City,2020-01-31,36
New York City,2020-02-01,39
New York City,2020-02-02,39
New York City,2020-02-03,44
New York City,2020-02-04,46
New York City,2020-02-05,44
New York City,2020-02-06,38
New York City,2020-02-07,40
New York City,2020-02-08,34
New York City,2020-02-09,35
New York City,2020-02-10,43
New York City,2020-02-11,44
New York City,2020-02-12,42
New York City,2020-02-13,39
New York City,2020-02-14,35
New York City,2020-02-15,22
New York City,2020-02-16,34
New York City,2020-02-17,43
New York City,2020-02-18,41
New York City,2020-02-19,44
New York City,2020-02-20,33
New York City,2020-02-21,28
New York City,2020-02-22,38
New York City,2020-02-23,47
New York City,2020-02-24,49
New York City,2020-02-25,49
New York City,2020-02-26,45
New York City,2020-02-27,43
New York City,2020-02-28,35
New York City,2020-02-29,34
New York City,2020-03-01,32
New York City,2020-03-02,45
New York City,2020-03-03,53
New York City,2020-03-04,51
New York City,2020-03-05,46
New York City,2020-03-06,42
New York City,2020-03-07,41
New York City,2020-03-08,45
New York City,2020-03-09,58
New York City,2020-03-10,61
New York City,2020-03-11,55
New York City,2020-03-12,46
New York City,2020-03-13,54
New York City,2020-03-14,53
New York City,2020-03-15,47
New York City,2020-03-16,40
New York City,2020-03-17,45
New York City,2020-03-18,49
New York City,2020-03-19,46
New York City,2020-03-20,55
New York City,2020-03-21,54
New York City,2020-03-22,40
New York City,2020-03-23,39
New York City,2020-03-24,43
New York City,2020-03-25,44
New York City,2020-03-26,46
New York City,2020-03-27,56
New York City,2020-03-28,49
New York City,2020-03-29,45
New York City,2020-03-30,46
New York City,2020-03-31,45
New York City,2020-04-01,45
New York City,2020-04-02,49
New York City,2020-04-03,51
New York City,2020-04-04,52
New York City,2020-04-05,52
New York City,2020-04-06,55
New York City,2020-04-07,58
New York City,2020-04-08,55
New York City,2020-04-09,52
New York City,2020-04-10,45
New York City,2020-04-11,46
New York City,2020-04-12,53
New York City,2020-04-13,57
New York City,2020-04-14,56
New York City,2020-04-15,49
New York City,2020-04-16,47
New York City,2020-04-17,44
New York City,2020-04-18,44
New York City,2020-04-19,44
